Colony_ID,Ind_ant,Site,Date,CTmax_C,Treatment,Collection_date,Worker_count,Winter_days
5292,H,U2,20220425,48.5,Urban,Mid,86,49
5292,I,U2,20220425,47,Urban,Mid,86,49
5292,J,U2,20220425,48,Urban,Mid,86,49
6116,A,U2,20220425,46,Urban,Mid,40,49
6116,B,U2,20220425,41.5,Urban,Mid,40,49
6116,C,U2,20220425,49,Urban,Mid,40,49
6116,D,U2,20220425,47.5,Urban,Mid,40,49
6116,E,U2,20220425,43.5,Urban,Mid,40,49
6116,F,U2,20220425,42.5,Urban,Mid,40,49
6116,G,U2,20220425,39,Urban,Mid,40,49
6116,H,U2,20220425,46,Urban,Mid,40,49
6116,I,U2,20220425,48,Urban,Mid,40,49
6116,J,U2,20220425,45.5,Urban,Mid,40,49
9199,A,U1,20220425,47.5,Urban,Mid,90,49
9199,B,U1,20220425,48,Urban,Mid,90,49
9199,C,U1,20220425,48.5,Urban,Mid,90,49
9199,D,U1,20220425,47.5,Urban,Mid,90,49
9199,E,U1,20220425,47,Urban,Mid,90,49
9199,F,U1,20220425,42.5,Urban,Mid,90,49
9199,G,U1,20220425,46.5,Urban,Mid,90,49
9199,H,U1,20220425,44.5,Urban,Mid,90,49
9199,I,U1,20220425,41,Urban,Mid,90,49
9199,J,U1,20220425,46,Urban,Mid,90,49
9335,A,U3,20220426,46,Urban,Mid,90,49
9335,B,U3,20220426,46,Urban,Mid,90,49
9335,C,U3,20220426,44.5,Urban,Mid,90,49
9335,D,U3,20220426,46.5,Urban,Mid,90,49
9335,E,U3,20220426,45,Urban,Mid,90,49
9335,F,U3,20220426,41,Urban,Mid,90,49
9335,G,U3,20220426,46.5,Urban,Mid,90,49
9335,H,U3,20220426,47,Urban,Mid,90,49
9335,I,U3,20220426,47,Urban,Mid,90,49
9335,J,U3,20220426,47,Urban,Mid,90,49
2231,A,U3,20220426,48,Urban,Mid,106,49
2231,B,U3,20220426,47.5,Urban,Mid,106,49
2231,C,U3,20220426,48.5,Urban,Mid,106,49
2231,D,U3,20220426,47.5,Urban,Mid,106,49
2231,E,U3,20220426,35,Urban,Mid,106,49
2231,F,U3,20220426,48,Urban,Mid,106,49
2231,G,U3,20220426,47.5,Urban,Mid,106,49
2231,H,U3,20220426,41.5,Urban,Mid,106,49
2231,I,U3,20220426,49,Urban,Mid,106,49
2231,J,U3,20220426,45,Urban,Mid,106,49
8293,A,U3,20220426,49,Urban,Mid,97,49
8293,B,U3,20220426,49,Urban,Mid,97,49
8293,C,U3,20220426,49.5,Urban,Mid,97,49
8293,D,U3,20220426,41.5,Urban,Mid,97,49
8293,E,U3,20220426,48,Urban,Mid,97,49
8293,F,U3,20220426,46.5,Urban,Mid,97,49
8293,G,U3,20220426,46.8,Urban,Mid,97,49
8293,H,U3,20220426,48,Urban,Mid,97,49
8293,I,U3,20220426,47,Urban,Mid,97,49
8293,J,U3,20220426,47.5,Urban,Mid,97,49
6187,A,U3,20220426,46.5,Urban,Mid,96,49
6187,B,U3,20220426,37.5,Urban,Mid,96,49
6187,C,U3,20220426,47,Urban,Mid,96,49
